Food table no.,Food,Lab code,Water (g),Protein (g),Fat (g),Total carbohydrate (g),Cholesterol (mg),Phytosterols (mg),SFA (g),MUFA (g),PUFA (g),Not identified (g),
10098,biscotti farciti D,700,1.6,5.3,26.9,66.2,,49.7,36.6,9.2,4.5,,
10099,pane biscotti,696,7.7,10.5,2.4,79.4,,26.3,14.1,54.8,4.8,,
12980,tea pastry (short pastry) (chocolate) (coated),719,4.5,6.1,30,59.4,46,61.3,28.5,9.3,0.9,,
12981,tea pastry (short pastry),716,4.9,6.4,25.2,63.5,54,45.8,36.1,13.6,4.5,,
12982,tea pastry (amaretti),717,3.6,8.9,22.6,68.5,18,17.8,66.8,14.3,1.1,,
12991,colomba-panettone,718,15.9,6.5,16.7,60.9,76,48.2,39.4,10.5,1.9,,
12993,sfogliatella,694,30.5,7.9,8.8,52.8,12,38.4,39.8,14.9,6.9,,
12994,tartufi,703,10.1,6.2,27.3,56.4,42,57.4,33.7,7.8,1.1,,
12995,diplomatici,693,30.7,5.2,20.4,43.7,89,46.9,43,10.6,,,
12996,deliziosa,695,11.8,6.6,21.8,58.8,26,43,42.1,11.3,3.6,,
12997,pesca,715,46.4,4.5,12.2,36.9,72,47.5,40.9,11,0.7,,
13998,gran ragu,692,72,5.9,13.3,8.6,16,19.3,42.2,37.6,0.9,,
11149,salsiccia fresca,689,41.2,19.1,35.5,,94,43.2,46.4,10.3,0.1,,
11150,salsiccia secca,688,16.1,33.8,55.5,,150,40.2,49,9.4,1.4,,
11155,mortadella suino,686,45.8,13.3,38.9,,91,39.5,49.9,9.5,1.1,,
11198,salame napoletano,723,17.2,23.6,47.1,,122,37.3,50.9,10.9,0.9,,
11199,soppressata,687,29.6,28.8,31.3,,116,38.3,51.8,8.8,1.1,,
12992,sanguinaccio,691,52.7,8.8,8.6,29.9,43,57.2,36.1,6.1,0.6,,
11600,latte di capra,709,87.2,3.3,4.5,5,20,67.5,26.6,2.6,3.3,,
11793,ricotta fresh cheese (cow's milk),725,72.6,7.8,13.9,5.7,57,64,28.6,3.3,4.1,,
11794,mozzarella,722,61.5,22.4,13.3,2.8,46,65,27.7,3.3,4,,
11795,ricotta fresh cheese (goat's milk),724,53.7,13.3,29.8,3.2,107,68,24.6,4.3,3.1,,
11796,mozzarella bufala,685,62.7,15.7,18.3,3.3,56,66.3,26.9,3.4,3.4,,
11797,formaggio di capra fresco,684,32.1,23.4,30.7,13.8,122,70.5,23,3.2,3.3,,
11798,formaggio di capra stagionato,704,17.5,32.2,31,19.3,163,67.2,25.7,4.1,3,,
12986,zuppa inglesa,721,25.7,4.8,11.6,57.9,49,40.7,41.8,10.9,6.6,,
12990,ice cream mix (cream base),727,46.8,3.5,18.1,31.6,8,58.7,32.1,9,0.2,,
12998,gelati confezionati con biscotti,683,39.8,5.1,9.5,45.6,18,63,26.2,8.2,2.6,,
12999,gelati confezionati cornetti,682,47.2,3.8,14.5,34.5,7,82.8,13.6,2.9,0.7,,
15099,sofficini (fried),720,48.4,7.2,15.8,28.6,31,20.8,26.2,50.2,2.8,,
10901,olive oil,708,,,,,,,,13.9,76.3,10.1,
10382,patatine,702,2.2,5.3,35.7,56.8,,16.8,24.7,58.2,0.3,,
12987,ice cream (locally prepared),726,63,1.7,0.7,34.6,,,,,,,
